Food,Category,SubCategory,ServingSize,ServingUnit,Calories_kcal,Protein_g,Carbs_g,Fat_g,Fiber_g,Sugar_g,Iron_mg,Calcium_mg,VitaminC_mg,VitaminD_IU,VitaminB12_mcg,Magnesium_mg,Potassium_mg,Zinc_mg,Folate_mcg,Sodium_mg,Vegetarian,Eggetarian,NonVegetarian,HighProtein,HighFiber,HighIron,Dairy,Notes
White Rice,Grains and Cereals,Rice,100,g,130,2.7,28.2,0.3,0.4,0.1,0.2,10,0.0,0,0.0,12,35,0.5,8,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Staple grain; low fiber; refined carb source
Brown Rice,Grains and Cereals,Rice,100,g,123,2.7,25.6,1.0,1.8,0.4,0.5,10,0.0,0,0.0,43,79,0.6,9,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Higher fiber and magnesium than white rice
Oats,Grains and Cereals,Cereal,100,g,389,16.9,66.3,6.9,10.6,0.0,4.7,54,0.0,0,0.0,177,429,3.9,56,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,High beta-glucan fiber; supports cholesterol management
Whole Wheat Flour,Grains and Cereals,Flour,100,g,340,12.1,71.2,1.7,11.2,0.4,3.9,34,0.0,0,0.0,137,363,2.6,43,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Base for roti; high fiber whole grain; rich in magnesium
Semolina,Grains and Cereals,Flour,100,g,360,12.7,72.8,1.1,3.9,0.8,1.2,17,0.0,0,0.0,47,186,1.1,72,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Used for upma and halwa; moderate fiber; good folate source
Poha,Grains and Cereals,Cereal,100,g,369,6.6,81.6,1.1,1.5,0.0,2.7,14,0.0,0,0.0,39,116,0.6,10,10,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Quick breakfast grain; often iron-fortified variety
Roti,Indian Breads,Flatbread,100,g,297,9.2,58.6,4.6,7.8,0.5,2.9,29,0.0,0,0.0,78,244,1.8,30,237,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Staple Indian bread; high fiber; typically cooked with ghee
White Bread,Indian Breads,Leavened Bread,100,g,265,8.9,51.0,3.2,2.7,5.0,2.7,151,0.0,0,0.0,23,115,0.7,58,491,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Refined grain; high sodium; often iron-fortified
Paratha,Indian Breads,Flatbread,100,g,326,8.3,48.5,11.2,4.6,0.6,2.4,27,0.0,0,0.0,55,185,1.3,24,382,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Higher fat than roti due to oil; popular breakfast item
Puri,Indian Breads,Deep-fried Bread,100,g,399,8.5,52.2,17.3,3.1,0.3,1.8,21,0.0,0,0.0,35,146,0.9,18,290,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Deep-fried bread; high calorie; festive food
